"guid","MA_guid","MA_company_code","MA_contract_date","MA_finish_date","MA_price","MA_memo","MA_register","MA_registration_date","MA_recent_user","MA_modify_date"
14880,"05DC0AE3434DC84EB69C63507AF942AC","4410999CDD2D8A47A504AAD7A7DEC4AF",2015-01-01 00:00:00.000,2015-12-31 00:00:00.000,0,"",ksllkd,2015-01-13 19:14:51.000,ksllkd,2015-01-13 19:14:51.000
20062,DFAC616D09058C479004A516E34F6B35,AC62E8CF19D7334BBD0B1C66640BF8E8,2019-08-01 00:00:00.000,2020-07-31 00:00:00.000,0,"",ksllkd,2019-08-20 16:20:43.000,ksllkd,2019-08-20 16:20:43.000
11804,B3EFDB8E5A97FC4A9EB6D670BE6486F0,"26E56EBB75A6A9499146416B435E2A79",2009-10-01 00:00:00.000,2010-09-30 00:00:00.000,0,"",minjie,2009-09-30 09:28:18.000,minjie,2009-09-30 09:28:18.000
20641,"05DC0AE3434DC84EB69C63507AF942AC","4410999CDD2D8A47A504AAD7A7DEC4AF",2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,0,"",ksllkd,2020-02-18 18:24:47.000,ksllkd,2020-02-18 18:24:47.000
20650,B99E61CEE23DF84B81509764133AF8F1,"3911AF7F73ABD048B83B279B993893B1",2019-12-01 00:00:00.000,2020-11-30 00:00:00.000,0,"",ksllkd,2020-02-19 14:06:59.000,ksllkd,2020-02-19 14:06:59.000
57268,"54D0285B998A73419E8D57D3FA9CB50B","28EC54C29D706B4082CE1D2405A1289A",2023-06-01 00:00:00.000,2024-05-31 00:00:00.000,0,"",ksd2046,2023-05-24 16:56:07.000,ksd2046,2023-05-24 16:56:07.000
20676,"7C7BA58BC764EE4EB20ABE6B3D303904","45FDE3F96A4E69489876F4EFE7AA3D2A",2020-02-01 00:00:00.000,2021-01-31 00:00:00.000,0,"",ksllkd,2020-02-20 14:15:55.000,ksllkd,2020-02-20 14:15:55.000
20698,"3BBD66AE11C33E4DB92A39021CB4E0C9","45FDE3F96A4E69489876F4EFE7AA3D2A",2020-01-01 00:00:00.000,2022-12-31 00:00:00.000,0,"",ksllkd,2020-02-24 11:29:44.000,ksllkd,2020-02-24 11:30:24.000
20116,CEF47DEC85F70F48BAAC9543F73F16CF,"3911AF7F73ABD048B83B279B993893B1",2019-09-01 00:00:00.000,2022-08-31 00:00:00.000,0,"",ksllkd,2019-09-02 13:21:34.000,ksllkd,2019-09-02 13:21:34.000
20118,"95F57460ED29784294D23F50FFE7A926","3911AF7F73ABD048B83B279B993893B1",2019-09-01 00:00:00.000,2022-08-31 00:00:00.000,0,"",ksllkd,2019-09-02 13:22:24.000,ksllkd,2019-09-02 13:22:24.000
20874,B3EFDB8E5A97FC4A9EB6D670BE6486F0,"26E56EBB75A6A9499146416B435E2A79",2020-05-01 00:00:00.000,2021-04-30 00:00:00.000,0,"",dsjang,2020-04-08 14:49:45.000,dsjang,2020-04-08 14:49:45.000
20941,"973835AAD9331B409FE3F6BEF1B854D1","4D4D478F715B554D9DDB6B26978390F3",2020-05-01 00:00:00.000,2021-04-30 00:00:00.000,0,"",syjang,2020-05-13 09:51:28.000,syjang,2020-05-13 09:51:35.000
20943,"61B38B9D3B996C469C7CB86C19C96558","10131C48C8F6E945872853BA98E9CBAC",2020-05-01 00:00:00.000,2021-04-30 00:00:00.000,0,"",syjang,2020-05-13 09:52:16.000,syjang,2020-05-13 09:52:16.000
21138,"4D25C67677F0EB4B9AF16B187DA89780","28931AEB8ECC0344A58E239C77097909",2020-05-01 00:00:00.000,2021-04-30 00:00:00.000,0,"",ksllkd,2020-07-28 15:38:00.000,ksllkd,2020-07-28 15:38:00.000
21172,E4A3C2573380214394A307C55173F971,FFB62DDD19D7274E931735355347EB92,2023-08-01 00:00:00.000,2026-07-31 00:00:00.000,0,"",dnlee,2020-07-29 16:57:34.000,wjjung,2023-08-07 17:52:43.000
21850,"8208BFF3456F4744B6645B263CE54EC5","118559C9D616064E9FDCE7981814AD42",2021-03-01 00:00:00.000,2022-02-28 00:00:00.000,0,"",dsjang,2021-02-24 19:51:12.000,dsjang,2021-02-24 19:51:12.000
21869,DAEAF8BCF33BD3418FD44BD886D4EE46,"8D9BD9A25AE3064988F08FE7B41A3101",2021-03-01 00:00:00.000,2022-02-28 00:00:00.000,0,"",dnlee,2021-03-11 10:20:42.000,dnlee,2021-03-11 10:20:42.000
22916,"61B38B9D3B996C469C7CB86C19C96558","10131C48C8F6E945872853BA98E9CBAC",2021-05-01 00:00:00.000,2022-04-30 00:00:00.000,0,"",cwcho,2021-04-06 17:37:15.000,cwcho,2021-04-06 17:37:15.000
22932,"973835AAD9331B409FE3F6BEF1B854D1","4D4D478F715B554D9DDB6B26978390F3",2021-05-01 00:00:00.000,2022-04-30 00:00:00.000,0,"",ksllkd,2021-04-07 17:00:08.000,ksllkd,2021-04-07 17:00:08.000
22987,B3EFDB8E5A97FC4A9EB6D670BE6486F0,"26E56EBB75A6A9499146416B435E2A79",2021-05-01 00:00:00.000,2022-04-30 00:00:00.000,0,"",dsjang,2021-04-29 15:12:22.000,dsjang,2021-04-29 15:12:22.000
22991,"665FECA9B2C19D489E45C2A6EB8D6E15","992C98D16434A34998B2E7EF2A6F300D",2021-05-01 00:00:00.000,2023-04-30 00:00:00.000,0,"",wjsdydtnr5,2021-04-29 17:19:46.000,wjsdydtnr5,2021-04-29 17:19:46.000
21617,"05DC0AE3434DC84EB69C63507AF942AC","4410999CDD2D8A47A504AAD7A7DEC4AF",2021-01-01 00:00:00.000,2023-12-31 00:00:00.000,0,"",ricky,2020-12-18 15:38:38.000,ricky,2020-12-18 15:38:38.000
24247,"4D25C67677F0EB4B9AF16B187DA89780","28931AEB8ECC0344A58E239C77097909",2021-05-01 00:00:00.000,2022-04-30 00:00:00.000,0,"",yhi526,2021-07-21 10:20:10.000,yhi526,2021-07-21 10:20:10.000
