거래코드,거래처코드,발행구분,거래구분,사업자번호,상호,성명,사업장주소,업태,종목,발행일자,거래내용,공급가액,세액,합계금액,결제유형,작성자,수정일자,최근사용자,transaction_contents,currency
51556FC5C906D2419B4D04336A9B1E08,0760CC9FE251EA4AB717F429DAA77B92,,,470-87-02116,탑이엠코리아 주식회사,김동철,부산광역시 사하구 하신중앙로 92(신평동),"제조업,서비스업","산업용기계,신재생에너지설계",2024-03-18 0:00,SOLIDWORKS 유지보수,-2000000,-200000,-2200000,현금,ksllkd,2024-03-18 0:00,ksllkd,,KRW
925D5536146C1441992A01CDB39CBB40,A3F3FB2DAB67BE4FB0D5948FCDF3DEE9,,,403-82-02289,원광대학교병원,서일영,전자북도 익산시 무왕로 895(신동),"의료업, 음식업 외","종합병원, 구내식당 외",2024-03-15 0:00,CD영상등록기 유지보수,3300000,330000,3630000,현금,ksllkd,2024-03-18 0:00,ksllkd,,KRW
A84459EF6A81C548B0D89109FC3A6871,93D58AF5916AB8419E907F45A4F98966,,,125-81-83648,㈜다람기술,문영기,경기도 평택시 서탄면 수월암길 15-21,제조업 외,"반도체장비및부품제조,전자부품및기기제조 외",2024-03-15 0:00,SOLIDWORKS Premium with Cloud Services외,56089620,5608962,61698582,현금,ksllkd,2024-03-15 0:00,ksllkd,,KRW
CA3C981F7676C44F9DBC1D9E6E7F7FC0,94B9D2B177B0AA418E07EC372AB12873,발행,,391-81-00905,㈜인피니티에코,김효준,"경기도 안양시 만안구 전파로 30, 8층 809호(안양동, 유천팩토피아)",제조업 외,"통신, 신재생에너지설비 외",2024-02-21 0:00,SOLIDWORKS Professional 사용권 비활성화외,500000,50000,550000,현금,ksllkd,2024-03-15 0:00,ksd2046,,KRW
25E11CAE1D64F2439AAC096A6DF6F27F,46D52D6ABAA08945A89A05369D8AF707,,,126-88-01594,주식회사 유트랙스,윤종철,"경기도 부천시 석천로 397, 102동 703호(삼정동, 부천테크노파크 쌍용3차)",제조업 외,"전기,전자 제품및부품 외",2024-03-14 0:00,SOLIDWORKS Premium 구매,9800000,980000,10780000,현금,ksllkd,2024-03-14 0:00,ksllkd,,KRW
6052C37DCD2A1E4592B19E1C38A35EAB,6F8023E941816146BBB831FEC6037A49,,,153-31-00142,신의테크놀러지,양연순외 1명,"인천광역시 부평구 부평대로 283, B동 B층 B116호~B118호(청천동, 부평우림라이온","제조업, 도매 및 소매업",중앙난방보일러 외,2024-03-14 0:00,알약 5.0 갱신,330000,33000,363000,현금,ksllkd,2024-03-14 0:00,ksllkd,,KRW
62DCBFDC63F20F41932C1089649B4418,23C7855A2036214AAFE1AF76CEE9B334,,,123-81-46502,㈜공진,"윤규중, 윤지우",경기도 군포시 당정로 10(당정동),"제조,도매",산업용핸들조립외,2024-03-11 0:00,SOLIDWORKS Premium,14000000,1400000,15400000,현금,ksllkd,2024-03-14 0:00,ksllkd,,KRW
A4086F916C59EA48994F44E078733C68,4433C091109675489C3D27F06D807CBC,,,122-81-59168,신의엔텍㈜,전영석,인천광역시 부평구 부평대로297번길 34,"제조,부동산업","전자부품및압력스위치,임대",2024-03-14 0:00,알약 5.0 갱신,210000,21000,231000,현금,ksllkd,2024-03-14 0:00,ksllkd,,KRW
B4CE4EB5919DB3459F4889F7304DC1DA,83A17DBE60735040B50E1C06DEA7B0BF,,,220-81-21888,유한회사 인스트론코리아,김형근,"서울특별시 강남구 영동대로 325 (대치동,에스타워 16층)",서비스 외,오파상 외,2024-03-13 0:00,SOLIDWORKS Professional Subscription,2000000,200000,2200000,현금,ksllkd,2024-03-14 0:00,ksllkd,,KRW
08BB5A19ECA95B43ADF3894037395DB2,115D343E41702947A9E775A7A6E5F166,,,134-86-20619,㈜에이피텍,주재철,인천광역시 연수구 벤처로100번길 34(송도동),"제조업,부동산","반도체,LCD,LED장비 외",2024-03-13 0:00,SOLIDWORKS 구조 해석 교육 및 프로젝트외,12000000,1200000,13200000,현금,ksllkd,2024-03-13 0:00,ksllkd,,KRW
