거래코드,월일,품목,규격,단위,수량,단가,공급가액,세액,합계금액,비고,순번,거래처코드,거래처명,전표번호,구분,날짜
51556FC5C906D2419B4D04336A9B1E08,3.18,SOLIDWORKS 유지보수,,,0,0,-2000000,-200000,-2200000,,1,0760CC9FE251EA4AB717F429DAA77B92,탑이엠코리아 주식회사,,매출,2024-03-18 0:00
A84459EF6A81C548B0D89109FC3A6871,3.15,SOLIDWORKS Premium with Cloud Services,,,2,0,42533280,4253328,46786608,,1,93D58AF5916AB8419E907F45A4F98966,㈜다람기술,,매출,2024-03-15 0:00
A84459EF6A81C548B0D89109FC3A6871,3.15,SOLIDWORKS Standard with Cloud Services,,,1,0,13556340,1355634,14911974,,2,93D58AF5916AB8419E907F45A4F98966,㈜다람기술,,매출,2024-03-15 0:00
925D5536146C1441992A01CDB39CBB40,3.15,CD영상등록기 유지보수,,,2,1650000,3300000,330000,3630000,,1,A3F3FB2DAB67BE4FB0D5948FCDF3DEE9,원광대학교병원,,매출,2024-03-15 0:00
6052C37DCD2A1E4592B19E1C38A35EAB,3.14,알약 5.0 갱신,,,11,0,330000,33000,363000,,1,6F8023E941816146BBB831FEC6037A49,신의테크놀러지,,매출,2024-03-14 0:00
25E11CAE1D64F2439AAC096A6DF6F27F,3.14,SOLIDWORKS Premium 구매,,,1,0,9800000,980000,10780000,,1,46D52D6ABAA08945A89A05369D8AF707,주식회사 유트랙스,,매출,2024-03-14 0:00
A4086F916C59EA48994F44E078733C68,3.14,알약 5.0 갱신,,,7,0,210000,21000,231000,,1,4433C091109675489C3D27F06D807CBC,신의엔텍㈜,,매출,2024-03-14 0:00
74E4FFA6BA29B44781F21E3B9601F745,3.13,기구 설계 프로그램 (SolidWorks 2024) 유지 보수 건,,,1,0,39000000,3900000,42900000,,1,2005BECD4CF5B54A9A6EB41E37B7DFF5,㈜루텍,,매출,2024-03-13 0:00
08BB5A19ECA95B43ADF3894037395DB2,3.13,SOLIDWORKS 구조 해석 교육 및 프로젝트,,,1,0,6000000,600000,6600000,,1,115D343E41702947A9E775A7A6E5F166,㈜에이피텍,,매출,2024-03-13 0:00
08BB5A19ECA95B43ADF3894037395DB2,3.13,SOLIDWORKS 유동 해석 프로젝트,,,1,0,6000000,600000,6600000,,2,115D343E41702947A9E775A7A6E5F166,㈜에이피텍,,매출,2024-03-13 0:00
E4CDDF6BA212CE47A7F85442C9799114,3.13,SOLIDWORKS Professional Subscription Service,,,1,0,2000000,200000,2200000,,1,D53FA0C58FC663459B7A6E6923BBC96D,㈜티씨케이,,매출,2024-03-13 0:00
B4CE4EB5919DB3459F4889F7304DC1DA,3.13,SOLIDWORKS Professional Subscription,,,1,0,2000000,200000,2200000,,1,83A17DBE60735040B50E1C06DEA7B0BF,유한회사 인스트론코리아,,매출,2024-03-13 0:00
14B27FA6DFA6354FA32FBA0721201F28,3.13,SOLIDWORKS Premium with Cloud Services (PLC),,,1,0,21266640,2126664,23393304,,1,F3572F83CAEF3346A066FB517AC733CD,한국피닉스전자 주식회사,,매출,2024-03-13 0:00
722603260A9DC347A30A8A774EF0F1C2,3.12,SOLIDWORKS Subscription Service,,,5,0,9215000,921500,10136500,,1,24C3FA8E932A4D4B9AEF87F452E50CBF,㈜하코그래픽솔루션 (HAKO GS),,매출,2024-03-12 0:00
ABA47C1A42ED904696C5293C99486E79,3.12,SOLIDWORKS Professional,,,1,10300000,10300000,1030000,11330000,,1,918538288861754DAF9B1926BE72438B,동연환경기술 주식회사,,매출,2024-03-12 0:00
3754E0C69D14C14798348C990AF58F75,3.11,SOLIDWORKS Professional,,,1,0,14500000,1450000,15950000,,1,A999FA8DA5F9CB4097E3EE778E6CDCA8,주식회사 이엠데이타,,매출,2024-03-11 0:00
62DCBFDC63F20F41932C1089649B4418,3.11,SOLIDWORKS Premium,,,1,0,14000000,1400000,15400000,,1,23C7855A2036214AAFE1AF76CEE9B334,㈜공진,,매출,2024-03-11 0:00
E54185EA530955499A2938D3F321257A,3.08,SOLIDWORKS Subscription Service,,,7,0,16300000,1630000,17930000,,1,24C3FA8E932A4D4B9AEF87F452E50CBF,㈜하코그래픽솔루션 (HAKO GS),,매출,2024-03-08 0:00
63EF5E82E2DD96439B862A3D81C66F26,3.08,CAM350+DFM Subscription,,,1,0,1850000,185000,2035000,,1,E02AF14A45FE1841BE5BD18252C9A8C2,인투코어테크놀로지주식회사,,매출,2024-03-08 0:00
16467E412769F449B2E4C0998DB10946,3.08,SOLIDWORKS 비활성화,,,1,300000,300000,30000,330000,,1,05C03BBD9DA47D44B0979F07EA764A52,주식회사 메이크,,매출,2024-03-08 0:00
39432793C5CF4B46971218B014F572B6,3.07,SOLIDWORKS 사용권 Disable(강제 비활성화),,,1,0,500000,50000,550000,,1,1C1FAE3F31FCE34A8991294DDFEDC5F3,주식회사 피엔티,,매출,2024-03-07 0:00
15492348F0CC504F8C4B47573F7E5681,3.07,SOLIDWORKS Subscription Service 이후 Disable,,,1,500000,500000,50000,550000,,1,0929DD423478ED4F978BE79959BA32B6,비나에프씨엠 주식회사,,매출,2024-03-07 0:00
7D9356A0C7E48E459672F6C3E5726A82,3.06,SOLIDWORKS Pro & workstation 구매,,,1,0,13900000,1390000,15290000,,1,F7EA91ADCC9B334991E54167E7C45F48,초이스테크닉스㈜ CHOIS TECHNICS CORP.,,매출,2024-03-06 0:00
F1BD705C9E9A4745ACB13829E976DF5A,3.05,SOLIDWORKS 유지보수 및 업그레이드,,,1,0,8500000,850000,9350000,,1,ECEB1B17A35DD84D86793E8CB16D9BEA,동성유공압㈜,,매출,2024-03-05 0:00
76003A077AFBEE48AC7A0801DD571893,3.04,CD영상등록기,,,3,0,510000,51000,561000,,1,9638369E50B1ED4BB7B08CA1CFE7FE29,건국대학교병원,,매출,2024-03-04 0:00
8A614D73A965B9428EC8C17C55D02097,2.29,Draftsight Enterprise 유지보수,,,3,0,1050000,105000,1155000,,1,461D6E5F5DB24746987153C2FD552BB6,㈜빅텍,,매출,2024-02-29 0:00
4B4515AE208CA349A6CAED66D6C7B965,2.29,SOLIDWORKS Professional with Cloud Services,,,0,0,10500000,1050000,11550000,,1,70581AB31463CF41AB1B9B2D6CEBC448,㈜휴텍,,매출,2024-02-29 0:00
72D9F1292C880C4E84BCF69A979670C9,2.29,SOLIDWORKS Professional,,,3,0,32500000,3250000,35750000,,1,54A391DDE4045043A5DDCE4A40FE1B40,주식회사 에프엘씨,,매출,2024-02-29 0:00
72D9F1292C880C4E84BCF69A979670C9,2.29,Autodesk PDMC,,,1,0,3700000,370000,4070000,,2,54A391DDE4045043A5DDCE4A40FE1B40,주식회사 에프엘씨,,매출,2024-02-29 0:00
72D9F1292C880C4E84BCF69A979670C9,2.29,조립PC,,,2,0,5200000,520000,5720000,,3,54A391DDE4045043A5DDCE4A40FE1B40,주식회사 에프엘씨,,매출,2024-02-29 0:00
F77D1A9E2039C74AAA08FF49BD5AF3C7,2.29,DS ENT,,,2,0,2000000,200000,2200000,,1,58BCDD5744D15146B4947AC523AFF4CB,수시스템 주식회사,,매출,2024-02-29 0:00
649B4F4CA6A58C42A505DD749CE8E74D,2.29,SOLIDWORKS Premium,,,1,0,14000000,1400000,15400000,,1,D22734885ED99041A906F28E0A982FFC,커넥트비,,매출,2024-02-29 0:00
1841B6F804393A4BB8375E267AC9EC8D,2.29,3D 마이그레이션 외주 설계 용역비,,,1,0,11929124,1192912,13122036,,1,283B641B31FC0245A8F2B045B319F0A1,효성중공업㈜ 창원1공장,,매출,2024-02-29 0:00
E67D574C9D36294DA1A0C5FAAC15326E,2.29,SOLIDWORKS 유지보수,,,1,0,23800000,2380000,26180000,,1,09E225C8E47E9148967841C72BEFDC96,㈜테크윈,,매출,2024-02-29 0:00
B5F0A464023C7948A00B67625801438C,2.29,대원테크 혁신바우처 잔금,,,1,6500000,6500000,650000,7150000,,1,7303BB51A5D28F49A2E831A5AC6DC9C0,대원테크,,매출,2024-02-29 0:00
8E56B83ACE88B242858EE3C164142B31,2.29,HP WORKSTATION,,,0,0,8800000,880000,9680000,,1,04D63670CFA0B94EAAA2C7527359D67E,㈜테크로스,,매출,2024-02-29 0:00
2EC221C560126640B84447A08B5D5610,2.29,Draftsight  DraftSight Enterprise,,,0,0,5400000,540000,5940000,,1,4CE57F311210874A99BB601557E03399,오상자이엘㈜,,매출,2024-02-29 0:00
7E096ED4FEFF044894A185EFF0C4BC8F,2.28,3DEXPERIENCE SOLIDWORKS Professional Offer (YSC),,,1,4500000,4500000,450000,4950000,,1,BD8BF3C36FF47248841038BADCBBFCF9,로지드,,매출,2024-02-28 0:00
24BCDF8E44F56847AEF5E70A672E5839,2.28,SOLIDWORKS,,,1,0,10000000,1000000,11000000,,1,0AEF2B27C100784E9D65C7F01E0B3334,에이치에스산업,,매출,2024-02-28 0:00
1372E78F9F19D544A1550D8A66F986E5,2.28,NAS,,,1,0,6950000,695000,7645000,,1,F8BEA8A4C194C542846325454FF504F1,㈜에이치알이앤아이_구)호룡,,매출,2024-02-28 0:00
F01AA26D809F5D40B731176840167B4E,2.27,SOLIDWORKS Premium Subscription,,,2,0,3800000,380000,4180000,,1,800DB4A14F3B944FBC630A8E0D2036B7,㈜에노스,,매출,2024-02-27 0:00
A8BE9D06E683FA44A11749F76CBB608E,2.27,SOLIDWORKS Subscription Service,,,1,0,2355000,235500,2590500,,1,10131C48C8F6E945872853BA98E9CBAC,㈜사라콤,,매출,2024-02-27 0:00
635EE939A8C57945ACBB8617D1397FAA,2.27,SOLIDWORKS Professional 유지보수,,,1,1800000,1800000,180000,1980000,,1,EB98F676ACC3C14AABE4D88B95687122,주식회사 세종시스템,,매출,2024-02-27 0:00
7F784333AA578544BBB1B587FF1C6A4B,2.27,Draftsight 유지보수,,,0,0,2900000,290000,3190000,,1,9527034DBBAD034EA38B8CA366C2A57C,㈜디제이에프,,매출,2024-02-27 0:00
B3657D10185F804CA3F647F92F67AA98,2.27,포스코홀딩스_Solidworks professional 구매 件,,,0,0,6400000,640000,7040000,,1,A32D87328245B045B35CDCC13AEEFBE7,㈜엔투비,,매출,2024-02-27 0:00
8D27A18B252CF4439FE31A3337EFBAC2,2.27,SOLIDWORKS Professional,,,1,0,10500000,1050000,11550000,,1,B31A9CC23E373B488D068C8371720DE1,㈜인텔릭스,,매출,2024-02-27 0:00
7B44082A4640D84BA10507E41B4DE902,2.27,GstarCAD,,,1,1200000,1200000,120000,1320000,,1,B39EB2FE537C9948A8840BD699F26C73,한국엠엔씨 ㈜,,매출,2024-02-27 0:00
7C42CE5D32E0814AAA69867121C7DF10,2.27,SOLIDWORKS Network 변경,,,1,15000000,15000000,1500000,16500000,,1,B0B287977A820D4283A0EFDD65ECA4D6,㈜동양정공,,매출,2024-02-27 0:00
F8309B2DBC2817459B655E3B1A5F1A37,2.27,SOLIDWORKS Premium,,,1,0,14500000,1450000,15950000,,1,383EA0DF51E1564DAE90E230702B363B,주식회사 한땀소프트,,매출,2024-02-27 0:00
3266897A43CA564DB703CE1C689DBE30,2.27,ZWCAD,,,1,1200000,1200000,120000,1320000,,1,BF536034C0DF58419A21FBC8C89DC211,주식회사 영광와이케이엠씨,,매출,2024-02-27 0:00
